model,cate,accu
236,mountain,85.4623724489796
236,forest,70.88966836734694
236,buildings,77.14923469387755
236,sea,85.03985969387755
236,street,77.43861607142857
240,mountain,84.2904974489796
240,forest,67.34933035714286
240,buildings,76.8375318877551
240,sea,83.30516581632654
240,street,74.71859056122449
244,mountain,85.38663903061224
244,forest,67.0719068877551
244,buildings,79.31441326530613
244,sea,84.42362882653062
244,street,78.91023596938776
248,mountain,87.11495535714286
248,forest,70.3077168367347
248,buildings,78.83529974489795
248,sea,84.53204719387755
248,street,76.77375637755102
252,mountain,85.50701530612245
252,forest,64.76642219387755
252,buildings,77.74314413265306
252,sea,84.39174107142857
252,street,75.70551658163265
256,mountain,86.75542091836735
256,forest,68.49968112244898
256,buildings,77.6171875
256,sea,85.96779336734694
256,street,76.92841198979592
260,mountain,85.6624681122449
260,forest,70.33402423469387
260,buildings,78.75717474489795
260,sea,84.16932397959184
260,street,77.47767857142857
264,mountain,85.7796556122449
264,forest,66.37994260204081
264,buildings,79.72257653061224
264,sea,85.72464923469387
264,street,79.65720663265306
268,mountain,86.5577168367347
268,forest,70.38105867346938
268,buildings,79.47544642857143
268,sea,85.14588647959184
268,street,79.44435586734694
272,mountain,87.02168367346938
272,forest,68.82892219387755
272,buildings,80.4735331632653
272,sea,84.92984693877551
272,street,79.4515306122449
276,mountain,85.20328443877551
276,forest,67.2313456632653
276,buildings,78.77072704081633
276,sea,85.18494897959184
276,street,78.62324617346938
280,mountain,87.60522959183673
280,forest,70.56999362244898
280,buildings,80.90561224489795
280,sea,86.69005102040816
280,street,79.82780612244898
284,mountain,87.01291454081633
284,forest,70.32445790816327
284,buildings,80.6576849489796
284,sea,86.30181760204081
284,street,78.14811862244898
288,mountain,85.45041454081633
288,forest,67.06313775510205
288,buildings,80.37468112244898
288,sea,85.04304846938776
288,street,78.60331632653062
292,mountain,88.08354591836735
292,forest,71.2045599489796
292,buildings,80.97098214285714
292,sea,87.40274234693878
292,street,81.2547831632653
296,mountain,86.27152423469387
296,forest,70.76132015306122
296,buildings,79.84693877551021
296,sea,84.0672831632653
296,street,78.33785076530613
300,mountain,88.17123724489795
300,forest,73.47735969387755
300,buildings,80.90959821428571
300,sea,88.25015943877551
300,street,79.58386479591837
304,mountain,86.89572704081633
304,forest,72.24649234693878
304,buildings,80.07254464285714
304,sea,84.62850765306122
304,street,79.11431760204081
308,mountain,88.26291454081633
308,forest,72.0687181122449
308,buildings,80.29735331632654
308,sea,87.46332908163265
308,street,79.32318239795919
312,mountain,87.93845663265306
312,forest,67.78778698979592
312,buildings,79.5264668367347
312,sea,86.33928571428571
312,street,78.07158801020408
316,mountain,88.28443877551021
316,forest,71.79368622448979
316,buildings,81.51785714285714
316,sea,86.94913903061224
316,street,79.83577806122449
320,mountain,87.6905293367347
320,forest,74.26737882653062
320,buildings,81.70998086734694
320,sea,87.71524234693878
320,street,80.70232780612245
324,mountain,89.29288903061224
324,forest,73.89190051020408
324,buildings,82.71524234693878
324,sea,89.02264030612245
324,street,83.7173150510204
328,mountain,88.5953443877551
328,forest,76.11846301020408
328,buildings,81.72751913265306
328,sea,87.20344387755102
328,street,79.58944515306122
332,mountain,89.24984056122449
332,forest,73.33466198979592
332,buildings,81.90688775510205
332,sea,87.70647321428571
332,street,81.84311224489795
336,mountain,88.34582270408163
336,forest,70.08131377551021
336,buildings,81.29464285714286
336,sea,86.69005102040816
336,street,80.82429846938776
340,mountain,88.59693877551021
340,forest,69.453125
340,buildings,81.23007015306122
340,sea,87.41151147959184
340,street,79.08880739795919
344,mountain,88.42155612244898
344,forest,74.20998086734694
344,buildings,83.61128826530613
344,sea,88.08195153061224
344,street,82.14923469387755
348,mountain,87.44977678571429
348,forest,71.90609056122449
348,buildings,81.5170599489796
348,sea,86.94276147959184
348,street,79.12468112244898
352,mountain,88.65991709183673
352,forest,71.16629464285714
352,buildings,82.94164540816327
352,sea,89.21795280612245
352,street,82.57573341836735
356,mountain,89.74489795918367
356,forest,72.86670918367346
356,buildings,83.4717793367347
356,sea,88.96763392857143
356,street,81.11527423469387
360,mountain,88.69260204081633
360,forest,75.55883290816327
360,buildings,82.17793367346938
360,sea,89.17091836734694
360,street,83.15130739795919
364,mountain,89.74968112244898
364,forest,73.32110969387755
364,buildings,84.16533801020408
364,sea,88.22863520408163
364,street,83.79464285714286
368,mountain,89.31839923469387
368,forest,75.02232142857143
368,buildings,84.17091836734694
368,sea,88.89508928571429
368,street,81.50271045918367
372,mountain,89.29129464285714
372,forest,75.26147959183673
372,buildings,83.41836734693878
372,sea,88.77710459183673
372,street,82.83482142857143
376,mountain,89.54161352040816
376,forest,73.58657525510205
376,buildings,83.23660714285714
376,sea,89.08242984693878
376,street,81.73469387755102
380,mountain,89.8373724489796
380,forest,76.49792729591837
380,buildings,81.63504464285714
380,sea,89.56712372448979
